DATE,CPI,CoreCPI,PCE,CorePCE,IP,UNEM,WORK,HS,INC,SPREAD
1985-02-01,6.792470966052022,5.5995048181396,10.038844766456734,6.207854794013201,0.3451496029764556,-0.14623794548446245,244.88461777806515,-145.7246309247414,0.4,2.860000000000001
1985-03-01,5.631169413831216,5.573767072332458,3.4938485347172588,4.193393014224789,0.34392951778021796,-0.1140744729488885,364.46488258216414,23.955960986950004,-0.1,3.0
1985-04-01,2.245089522973487,3.331552979252095,4.973631837349046,1.4267722976599728,0.13874792593271223,0.01837385133730951,342.09508734807605,46.54650875664606,0.3,3.06
1985-05-01,2.240897009754761,4.428267204776404,16.535297756294298,4.12566377734187,0.13047276977011535,-0.04880516274837454,398.73934903591,-92.91443045455867,1.2,2.8599999999999994
1985-06-01,3.353518717218762,2.2077532302498426,-3.119315507417042,3.9675021864612248,0.013562356355933503,0.18447501870965688,329.3380280024285,-95.3915318820109,-0.5,2.6499999999999995
1985-07-01,2.230483913550785,2.203965810927677,11.677951961144473,3.499732809620326,-0.338834067855295,0.21830431887441648,302.80379437188094,-85.84301837005205,0.7,2.619999999999999
1985-08-01,2.2263457220951466,4.395559046756503,15.977411493958726,5.873820351492043,-0.2691681982392993,-0.047240149856271785,280.0264475721633,-25.220488351087624,1.0,2.670000000000001
1985-09-01,2.2222228572882585,6.563428509203817,18.432611640170293,2.4746201663038647,-0.18376820002826122,-0.012096435106728975,270.8747589898412,-90.46957893680246,1.4,2.710000000000001
1985-10-01,4.432138002422548,7.612147440845973,-16.820381691234232,1.9238195492995658,-0.45794354621834543,0.023800696064688154,245.19805373037525,69.46582418391972,-1.5,2.53
1985-11-01,5.517251098354947,5.407723359146566,6.643886048245662,2.939144614290612,-0.3729909481251923,-0.03948268337016092,241.82684615213657,-64.35188206815519,0.3,2.039999999999999
1985-12-01,5.492000432894528,1.0788355972147556,17.283187837456637,3.262541904856242,0.043924684570761485,-0.0018821532655337592,194.57462297084567,182.13487521217007,1.1,1.6300000000000008
1986-01-01,4.375574583624697,3.230178108355908,6.725329748652342,6.45162844365661,0.23436434433820352,-0.2633305516226798,104.23807737122115,214.98813781079116,0.1,1.6099999999999994
1986-02-01,-2.1857929540693988,3.221246386900667,-2.9323762223626204,3.0957470215202676,-0.2782140266795352,0.27623941426223997,5.60039041134587,94.25729925837982,-0.3,1.2800000000000002
1986-03-01,-6.581369330592324,4.282106411007547,1.4458345418255192,3.6483433220181993,-0.7988687616408185,0.31691332393691685,-121.5624956060783,125.97682335381705,0.3,0.9000000000000004
1986-04-01,-4.407718454233134,4.266622194180947,4.919777867333863,2.1697082832570658,-0.8517388732854343,0.25875757365638474,-149.47502729439293,187.1746282502029,0.6,0.9900000000000002
1986-05-01,3.307305722375631,2.1275069214583553,9.401562309843925,2.049451260881696,-0.9076078973558381,0.40181655180596554,-238.35320942696126,112.86988371012603,0.6,1.3699999999999992
1986-06-01,4.395609310484616,2.1239989490993594,1.762484580367385,3.601338682487132,-1.272500221061648,0.44611667749503336,-548.4026665669808,111.06876125810118,-0.2,1.4299999999999995
1986-07-01,1.096391122409912,4.236496280905477,8.149224235123498,2.1787844971804304,-1.062277203286314,0.29165646590575367,-448.81247097137384,51.769594232274585,0.7,1.2299999999999995
